canonical_common_name,scientific_name,family_sci,family_common,order,regions,alpha_4,aliases,is_model_species
Ancient Murrelet,Synthliboramphus antiquus,Alcidae,Auk/Murre/Puffin sp.,Charadriiformes,"PAL,NA",ANMU,,1
Andaman Boobook,Ninox affinis,Strigidae,Owl sp.,Strigiformes,OR,,,0
Andaman Bulbul,Brachypodius fuscoflavescens,Pycnonotidae,Bulbuls,Passeriformes,OR,,,0
Andaman Coucal,Centropus andamanensis,Cuculidae,Cuckoo/Roadrunner sp.,Cuculiformes,OR,,,0
Andaman Crake,Rallina canningi,Rallidae,Rail/Gallinule/Coot sp.,Gruiformes,OR,,,0
Andaman Cuckoo-Dove,Macropygia rufipennis,Columbidae,Pigeon/Dove sp.,Columbiformes,OR,,,0
Andaman Cuckooshrike,Coracina dobsoni,Campephagidae,Cuckooshrikes,Passeriformes,OR,,,0
Andaman Drongo,Dicrurus andamanensis,Dicruridae,Drongos,Passeriformes,OR,,,0
Andaman Flowerpecker,Dicaeum virescens,Dicaeidae,Flowerpeckers,Passeriformes,OR,,,0
Andaman Green Pigeon,Treron chloropterus,Columbidae,Pigeon/Dove sp.,Columbiformes,OR,,,0
Andaman Masked Owl,Tyto deroepstorffi,Tytonidae,Barn Owl,Strigiformes,OR,,,0
Andaman Nightjar,Caprimulgus andamanicus,Caprimulgidae,Nightjar sp.,Caprimulgiformes,OR,,,0
Andaman Scops Owl,Otus balli,Strigidae,Owl sp.,Strigiformes,OR,,,0
Andaman Serpent Eagle,Spilornis elgini,Accipitridae,Hawk/Eagle/Kite sp.,Accipitriformes,OR,,,0
Andaman Shama,Copsychus albiventris,Muscicapidae,"Chats, Old World Flycatchers",Passeriformes,OR,,,0
Andaman Teal,Anas albogularis,Anatidae,Waterfowl sp.,Anseriformes,OR,,,0
Andaman Treepie,Dendrocitta bayleii,Corvidae,Corvid sp.,Passeriformes,OR,,,0
Andaman Wood Pigeon,Columba palumboides,Columbidae,Pigeon/Dove sp.,Columbiformes,OR,,,0
Andaman Woodpecker,Dryocopus hodgei,Picidae,Woodpecker sp.,Piciformes,OR,,,0
Andean Avocet,Recurvirostra andina,Recurvirostridae,Stilt/Avocet sp.,Charadriiformes,SA,,,0
Andean Cock-of-the-rock,Rupicola peruvianus,Cotingidae,Cotingas,Passeriformes,SA,,,0
Andean Condor,Vultur gryphus,Cathartidae,New World Vulture sp.,Accipitriformes,SA,,,0
Andean Coot,Fulica ardesiaca,Rallidae,Rail/Gallinule/Coot sp.,Gruiformes,SA,,,0
Andean Duck,Oxyura ferruginea,Anatidae,Waterfowl sp.,Anseriformes,SA,,,0
Andean Emerald,Uranomitra franciae,Trochilidae,Hummingbird sp.,Apodiformes,SA,,,0
Andean Flamingo,Phoenicoparrus andinus,Phoenicopteridae,Flamingos,Phoenicopteriformes,SA,,,0
Andean Flicker,Colaptes rupicola,Picidae,Woodpecker sp.,Piciformes,SA,,,0
Andean Goose,Chloephaga melanoptera,Anatidae,Waterfowl sp.,Anseriformes,SA,,,0
Andean Guan,Penelope montagnii,Cracidae,"Chachalacas, Curassows, Guans",Galliformes,SA,,,0
Andean Gull,Chroicocephalus serranus,Laridae,Gull/Tern/Skimmer sp.,Charadriiformes,SA,,,0
Andean Hillstar,Oreotrochilus estella,Trochilidae,Hummingbird sp.,Apodiformes,SA,,,0
Andean Ibis,Theristicus branickii,Threskiornithidae,Ibis/Spoonbill sp.,Pelecaniformes,SA,,,0
Andean Laniisoma,Laniisoma buckleyi,Tityridae,"Tityras, Becards & Allies",Passeriformes,SA,,,0
Andean Lapwing,Vanellus resplendens,Charadriidae,Plover sp.,Charadriiformes,SA,,,0
Andean Motmot,Momotus aequatorialis,Momotidae,Motmots,Coraciiformes,SA,,,0
Andean Negrito,Lessonia oreas,Tyrannidae,Flycatcher sp.,Passeriformes,SA,,,0
Andean Parakeet,Bolborhynchus orbygnesius,Psittacidae,Parrot sp.,Psittaciformes,SA,,,0
Andean Potoo,Nyctibius maculosus,Nyctibiidae,Potoos,Nyctibiiformes,SA,,,0
Andean Pygmy Owl,Glaucidium jardinii,Strigidae,Owl sp.,Strigiformes,SA,,,0
Andean Siskin,Spinus spinescens,Fringillidae,Finch sp.,Passeriformes,SA,,,0
Andean Slaty Thrush,Turdus nigriceps,Turdidae,Thrush sp.,Passeriformes,SA,,,0
Andean Solitaire,Myadestes ralloides,Turdidae,Thrush sp.,Passeriformes,SA,,,0
Andean Swallow,Orochelidon andecola,Hirundinidae,Swallow sp.,Passeriformes,SA,,,0
Andean Swift,Aeronautes andecolus,Apodidae,Swift sp.,Apodiformes,SA,,,0
Andean Teal,Anas andium,Anatidae,Waterfowl sp.,Anseriformes,SA,,,0
Andean Tinamou,Nothoprocta pentlandii,Tinamidae,Tinamous,Tinamiformes,SA,,,0
Andean Tit-Spinetail,Leptasthenura andicola,Furnariidae,Ovenbirds,Passeriformes,SA,,,0
Angola Batis,Batis minulla,Platysteiridae,"Wattle-eyes, Batises",Passeriformes,AF,,,0
Angola Cave Chat,Xenocopsychus ansorgei,Muscicapidae,"Chats, Old World Flycatchers",Passeriformes,AF,,,0
Angola Greenbul,Phyllastrephus viridiceps,Pycnonotidae,Bulbuls,Passeriformes,AF,,,0
Angola Lark,Amirafra angolensis,Alaudidae,Horned Lark,Passeriformes,AF,,,0
Angola Slaty Flycatcher,Melaenornis brunneus,Muscicapidae,"Chats, Old World Flycatchers",Passeriformes,AF,,,0
Angola Swallow,Hirundo angolensis,Hirundinidae,Swallow sp.,Passeriformes,AF,,,0
Angola Waxbill,Coccopygia bocagei,Estrildidae,Scaly-breasted Munia,Passeriformes,AF,,,0
Angola White-eye,Zosterops kasaicus,Zosteropidae,White-eyes,Passeriformes,AF,,,0
Anhinga,Anhinga anhinga,Anhingidae,Anhinga,Suliformes,"NA,MA,SA",ANHI,,1
Anianiau,Magumma parva,Fringillidae,Finch sp.,Passeriformes,PO,ANIA,,0
